ITHR,IDB,ICASN,TH_MEAN,TH_SD,NOISE_MEAN,NOISE_SD
20,120,2,274.6,16.97,15.12,3.721
40,120,2,391.3,21.71,13.77,4.505
60,120,2,488.7,27.1,13.78,4.794
80,120,2,574.4,31.06,13.81,5.126
100,120,2,639.4,34.6,13.13,5.34
120,120,2,719,35.45,13.52,5.365
20,120,4,281.7,15.41,13.4,4.267
40,120,4,396.3,21.11,13.5,4.707
60,120,4,491.4,26.09,13.57,4.952
80,120,4,574.8,30.37,13.56,5.192
100,120,4,647.8,32.31,13.56,5.344
120,120,4,717.3,35.03,13.14,5.554
20,120,6,282.6,15.38,13.4,4.366
40,120,6,397.6,21.28,13.34,4.861
60,120,6,491.1,25.77,13.12,4.968
80,120,6,578.7,31.89,13.6,5.05
100,120,6,655.8,33.61,13.1,5.184
120,120,6,725,35.53,13.31,5.385
20,120,8,282.6,15,13.71,4.164
40,120,8,396.1,21.03,13.89,4.653
60,120,8,492.3,26.88,13.9,4.759
80,120,8,578,30.69,13.77,5.109
100,120,8,653.2,33.4,13.75,5.29
120,120,8,725.6,35.83,13.77,5.288
20,120,10,277.4,15.96,13.24,4.288
40,120,10,388.8,20.94,12.85,4.578
60,120,10,480.9,25.85,12.86,4.687
80,120,10,565.8,29.97,12.84,4.865
100,120,10,641.1,32.78,12.86,5.101
120,120,10,716.4,35.47,13.11,5.197
20,100,2,299.6,15.19,12.99,4.716
40,100,2,413,21.76,12.97,4.901
60,100,2,508.1,26.31,12.94,5.16
80,100,2,589.3,30.37,12.93,5.246
100,100,2,663.1,33.16,12.67,5.471
120,100,2,730.1,34.4,12.76,5.431
20,100,4,297.3,15.3,13.25,4.567
40,100,4,407.9,20.74,13.15,4.744
60,100,4,500.4,25.98,13.11,5
80,100,4,581.7,30.11,13.15,5.217
100,100,4,655.2,33.08,13.23,5.328
120,100,4,726.6,34.7,12.93,5.479
20,100,6,294,15.44,13.73,4.156
40,100,6,408.4,21.47,13.57,4.681
60,100,6,501.2,26.28,13.48,4.831
80,100,6,586,31.23,13.7,5.057
100,100,6,662.5,34.01,13.62,5.299
120,100,6,730.4,34.5,13.53,5.288
20,100,8,293.2,15.63,13.84,4.29
40,100,8,407.4,21.57,13.54,4.636
60,100,8,501.4,26.6,13.61,4.919
80,100,8,584.1,31.04,13.65,5.068
100,100,8,661.2,34.71,14.17,5.426
120,100,8,733,35.3,13.94,5.558
20,100,10,369.3,13.77,11.28,3.054
40,100,10,411.2,23.11,12.27,5.389
60,100,10,483.3,27.1,12.45,5.707
80,100,10,579.1,41.76,12.49,5.939
100,100,10,678.7,37.52,13.17,5.57
120,100,10,725.7,36.94,12.73,6.191
20,80,2,308.2,15.18,13.8,4.113
40,80,2,419.6,21.18,13.31,4.375
60,80,2,510.3,26.56,13.37,4.57
80,80,2,592.1,31.28,14.11,5.022
100,80,2,668.3,34.52,13.05,5.098
120,80,2,735.9,34.72,12.99,5.164
20,80,4,301.1,15.15,14.01,4.187
40,80,4,413,21.95,13.66,4.469
60,80,4,503.4,26.96,14.38,4.656
80,80,4,586.1,32,13.81,4.906
100,80,4,661.8,34.62,13.62,5.25
120,80,4,729.4,35.49,13.27,5.231
20,80,6,298,14.85,14.55,3.872
40,80,6,408.1,21.78,13.69,4.265
60,80,6,498.6,27.04,14.01,4.603
80,80,6,580.3,31.87,14.58,5.043
100,80,6,656.9,35.29,13.68,5.233
120,80,6,725,36.38,13.63,5.384
20,80,8,294.5,15.64,13.35,4.237
40,80,8,405.5,21.82,13.2,4.504
60,80,8,496.4,27.22,13.25,4.683
80,80,8,579.3,32.29,13.27,4.918
100,80,8,654.5,35.55,13.21,5.11
120,80,8,722.7,37.17,13.23,5.213
20,80,10,292.9,18.88,13.82,4.916
40,80,10,408.6,25.89,13.74,5.248
60,80,10,506.5,32.62,13.96,5.551
80,80,10,593.4,38.04,13.95,5.803
100,80,10,670.8,41.76,14.04,6.059
120,80,10,736.4,39.24,13.9,6.195
20,60,2,302.2,20.17,14.09,4.624
40,60,2,417.8,26.78,14.26,5.252
60,60,2,507.7,33.34,13.62,5.58
80,60,2,593.3,38.04,13.68,5.928
100,60,2,669,41.59,13.61,6.142
120,60,2,731.6,40.6,13.84,6.239
20,60,4,294,19.46,13.63,4.967
40,60,4,407.8,26.38,13.91,5.289
60,60,4,501.3,33,14.02,5.671
80,60,4,584.3,38.38,14.22,6.031
100,60,4,659.9,42.48,14.17,6.243
120,60,4,724.3,42.48,14.33,6.398
20,60,6,285.7,19.24,14.18,4.67
40,60,6,402.2,27.12,13.91,5.366
60,60,6,468.6,28.71,12.56,5.786
80,60,6,549.5,32.73,13.69,5.821
100,60,6,610.4,37.38,13.64,5.957
120,60,6,683.3,37.56,12.8,6.488
20,60,8,286.9,18.47,12.22,5.062
40,60,8,375.5,22.74,13.3,5.146
60,60,8,464.5,28.23,13.34,5.611
80,60,8,550.2,32.3,12.84,6.075
100,60,8,608.1,36.14,13.61,6.088
120,60,8,681.3,38.81,12.91,6.571
20,60,10,286,16.97,12.29,4.974
40,60,10,372.1,21.64,12.6,5.324
60,60,10,493.1,31.21,12.59,5.687
80,60,10,534.8,31.38,12.49,6.384
100,60,10,617.5,39.97,12.95,6.434
120,60,10,692.8,40.64,13.08,6.646
